sample_a_id,sample_b_id,split_a,split_b,filename_a,filename_b,distance
69f6047d725bab6cf0a34bb9,69f60484725bab6cf0a35a93,train,train,DSC01888_JPG.rf.73e033544e0b5296ce8ac797f3bd67a9.jpg,DSC01827_JPG.rf.feda12899e090f405c008021fee3b3c2.jpg,50.30008922558812
69f6047d725bab6cf0a34bb9,69f60482725bab6cf0a35613,train,train,DSC01888_JPG.rf.73e033544e0b5296ce8ac797f3bd67a9.jpg,DSC01993_JPG.rf.3be98aaa762983b6fa244a8a900428a7.jpg,50.950326298428735
69f6047d725bab6cf0a34bb9,69f60492725bab6cf0a37981,train,train,DSC01888_JPG.rf.73e033544e0b5296ce8ac797f3bd67a9.jpg,DSC01939_JPG.rf.f71659ffb101df449bcade5aaa4842d0.jpg,51.85684155349993
69f60481725bab6cf0a354b5,69f6048f725bab6cf0a37438,train,train,DSC01970_JPG.rf.1fbae29ef12cbc860e85756f5590c5ed.jpg,DSC02075_JPG.rf.26199ea783a39af25b8784931d67e62a.jpg,48.380664794189954
69f60481725bab6cf0a354b5,69f60497725bab6cf0a385fa,train,train,DSC01970_JPG.rf.1fbae29ef12cbc860e85756f5590c5ed.jpg,DSC02045_JPG.rf.4e90bbeb584004c1a5f32994945957ca.jpg,48.89450678984664
69f60481725bab6cf0a354b5,69f60486725bab6cf0a35ee1,train,train,DSC01970_JPG.rf.1fbae29ef12cbc860e85756f5590c5ed.jpg,DSC02043_JPG.rf.5784958cc594f3185766c65deacaf5a2.jpg,49.64514146950231
69f60481725bab6cf0a354b5,69f60484725bab6cf0a35b44,train,train,DSC01970_JPG.rf.1fbae29ef12cbc860e85756f5590c5ed.jpg,DSC01892_JPG.rf.b0a98675bcc49bfb9823e1a5c5f6c646.jpg,51.080780115874525
69f60481725bab6cf0a354b5,69f6048f725bab6cf0a372fe,train,train,DSC01970_JPG.rf.1fbae29ef12cbc860e85756f5590c5ed.jpg,DSC02058_JPG.rf.a1c2747d5a6e2a93bc5f57a690ed9354.jpg,51.85440643298412
69f604b0725bab6cf0a3b2d2,69f60487725bab6cf0a36197,valid,train,sultana_163_jpg.rf.f9b05474bf7290df1ce798a728a532d7.jpg,sultana_115_jpg.rf.0e83e5d61763f060cc88baa2dcc69f5d.jpg,34.56042463055954
69f60484725bab6cf0a35980,69f60489725bab6cf0a3651d,train,train,DSC02038_JPG.rf.f42dca4ca3d56546b6e8a95adb2d8cb6.jpg,DSC01997_JPG.rf.44c2a579d7be92460e491ee23db52913.jpg,44.41240650983059
69f60487725bab6cf0a3619f,69f6048e725bab6cf0a370a8,train,train,DSC01865_JPG.rf.7333f40c0e1de584c851c783f5f2463c.jpg,DSC01877_JPG.rf.4a8e42bd18ea0c20edbce60648e4e1e5.jpg,52.28998580955162
69f6047f725bab6cf0a34f7f,69f6048e725bab6cf0a371a0,train,train,DSC01804_JPG.rf.683b0fe5a338523960cc5805e5d59722.jpg,DSC01810_JPG.rf.60442a3645574947eaf057cc067dc604.jpg,41.83357610135605
