sample_id,filename,split,tags
69f604b0725bab6cf0a3b2d2,sultana_163_jpg.rf.f9b05474bf7290df1ce798a728a532d7.jpg,valid,['valid']
69f60487725bab6cf0a36197,sultana_115_jpg.rf.0e83e5d61763f060cc88baa2dcc69f5d.jpg,train,['train']
69f604b7725bab6cf0a3c3d6,el_calvario_067_jpg.rf.fc4d2d29ef09f873cd9cf7e1e32028bb.jpg,test,['test']
69f60490725bab6cf0a37671,el_calvario_041_jpg.rf.e4e8988915094a2c753473bc154abf1d.jpg,train,['train']
69f60492725bab6cf0a37a81,DSC05399_JPG.rf.87bbed13d9c4d8041cdd1dab72cb0782.jpg,train,['train']
69f604ae725bab6cf0a3ac43,DSC05398_JPG.rf.210d633192f65821406dc03da6fb4b26.jpg,valid,['valid']
69f6047f725bab6cf0a350b5,el_calvario_078_jpg.rf.64aff98a171880c727bc12dc95c0d90b.jpg,train,['train']
69f604b0725bab6cf0a3b21c,el_calvario_076_jpg.rf.1dbc9c98f0701ff141d2cf18f98976f0.jpg,valid,['valid']
69f60483725bab6cf0a357e6,CA39E02F-80AC-408C-89C7-902D466982E4_1_105_c_jpeg.rf.a2239d585f9f33332caa716160d41f22.jpg,train,['train']
69f604b0725bab6cf0a3b3b8,56DA5D68-218D-4C56-8553-462ECA2E9F5E_1_105_c_jpeg.rf.abb0315e9deabd8322d1efb7bd2daf2a.jpg,valid,['valid']
69f60490725bab6cf0a375e2,sultana_148_jpg.rf.f4c08ce9002d85b440bb192984de41ed.jpg,train,['train']
69f604b5725bab6cf0a3bda5,sultana_158_jpg.rf.06eb98689689fd1cd3b5c54ab971b50f.jpg,test,['test']
69f604ae725bab6cf0a3ae5c,DSC05378_JPG.rf.557b494a92104ad747e8771874695b22.jpg,valid,['valid']
69f604b7725bab6cf0a3c2b3,DSC05377_JPG.rf.e14efe7a9fd26232095a960b602bfff0.jpg,test,['test']
